country_id,city_id,profit
A,a00,5293.68
A,a00,10046.93
A,a00,11003.13
A,a00,4473.16
A,a00,7669.42
A,a00,2239.36
A,a00,7640.19
A,a00,2435.63
A,a00,7113.46
A,a00,9254.01
A,a00,9561.51
A,a00,9803.75
A,a00,3599.22
A,a00,7150.71
A,a00,3736.23
A,a00,11414.72
A,a00,4929.31
A,a00,6344.55
A,a00,2619.93
A,a00,6463.68
A,a00,12089.07
A,a00,6797.93
A,a00,11986.22
A,a00,12831.87
A,a00,5450.62
A,a00,1700.59
A,a00,9773.34
A,a00,8598.11
A,a00,12677.08
A,a00,8477.47
A,a00,8240.63
A,a00,7197.18
A,a00,8415.24
A,a00,10078.41
A,a00,3897.81
A,a00,11125.73
A,a00,7813.12
A,a00,7071.39
A,a00,6151.94
A,a00,12239.93
A,a00,7422.15
A,a00,5239.16
A,a00,7951.3
A,a00,4819.52
A,a00,5172.39
A,a00,5915.84
A,a00,6781.27
A,a00,4756.18
A,a00,2639.77
A,a00,9751.69
A,a00,9629.13
A,a00,1326.13
A,a00,11891.96
A,a00,8945.43
A,a00,8696.48
A,a00,10666.07
A,a00,9577.69
A,a00,7124.27
A,a00,9637.22
A,a00,11649.38
A,a00,7768.46
A,a00,6216.05
A,a00,9197.65
A,a00,6690.4
A,a00,8566.77
A,a00,10843.28
A,a00,6790.48
A,a00,12853.74
A,a00,4591.84
A,a00,10051.1
A,a00,9474.66
A,a00,5294.75
A,a00,2076.55
A,a00,8217.73
A,a00,6385.52
A,a00,10947.71
A,a00,9008.49
A,a00,9800.99
A,a00,5115.22
A,a00,7189.83
A,a00,6900.45
A,a00,5019.83
A,a00,8750.49
A,a00,9265.06
A,a00,9013.05
A,a00,8152.04
A,a00,6767.72
A,a00,6116.55
A,a00,6734.63
A,a00,7401.06
A,a00,4645.16
A,a00,9952.85
A,a00,9262.16
A,a00,9280.54
A,a00,5610.14
A,a00,8609.23
A,a00,11453.25
A,a00,10223.09
A,a00,6527.58
A,a00,6646.11
A,a01,9010.39
A,a01,14230.84
A,a01,10058.9
A,a01,6800.6
A,a01,8928.52
A,a01,11773.47
A,a01,5139.39
A,a01,13285.91
A,a01,8875.64
A,a01,10202.22
A,a01,11941.39
A,a01,7119.28
A,a01,7060.21
A,a01,8961.62
A,a01,7927.09
A,a01,6325.8
A,a01,8653.73
A,a01,16244.15
A,a01,13533.87
A,a01,12293.27
A,a01,7272.26
A,a01,8468.86
A,a01,8364.8
A,a01,6301.58
A,a01,5681.98
A,a01,6221.58
A,a01,7878.56
A,a01,5142.51
A,a01,8515.12
A,a01,11509.61
A,a01,9468.0
A,a01,13325.75
A,a01,6433.33
A,a01,13134.37
A,a01,10854.01
A,a01,9793.45
A,a01,10899.53
A,a01,11905.9
A,a01,6444.06
A,a01,11834.94
A,a01,12679.2
A,a01,9228.36
A,a01,10854.06
A,a01,8236.21
A,a01,9707.99
A,a01,12681.77
A,a01,11144.06
A,a01,7996.76
A,a01,7087.22
A,a01,10844.4
A,a01,5801.85
A,a01,3603.92
A,a01,5456.77
A,a01,10240.66
A,a01,7788.68
A,a01,10623.68
A,a01,12307.61
A,a01,11358.14
A,a01,7742.9
A,a01,10102.54
A,a01,8762.76
A,a01,5293.55
A,a01,11055.38
A,a01,15239.75
A,a01,10053.35
A,a01,11141.85
A,a01,8288.3
A,a01,11772.85
A,a01,8994.86
A,a01,6062.13
A,a01,12081.0
A,a01,10133.08
A,a01,13474.88
A,a01,11838.68
A,a01,9204.05
A,a01,9675.31
A,a01,7790.15
A,a01,9016.69
A,a01,9295.36
A,a01,10413.34
A,a01,13376.98
A,a01,10010.5
A,a01,11670.47
A,a01,7531.77
A,a01,12931.6
A,a01,11660.83
A,a01,8649.21
A,a01,11293.41
A,a01,8644.87
A,a01,6027.74
A,a01,12349.5
A,a01,9248.48
A,a01,10501.31
A,a01,8222.23
A,a01,7377.21
A,a01,8292.94
A,a01,10346.75
A,a01,9550.58
A,a01,10854.62
A,a01,12791.96
A,a02,15186.88
A,a02,14979.2
A,a02,17359.5
A,a02,17274.44
A,a02,14985.2
A,a02,16567.63
A,a02,16344.79
A,a02,16742.82
A,a02,17198.84
A,a02,19234.41
A,a02,11551.05
A,a02,13490.17
A,a02,21261.57
A,a02,17458.62
A,a02,17437.07
A,a02,18202.48
A,a02,18892.81
A,a02,16500.57
A,a02,15774.8
A,a02,20393.14
A,a02,8412.67
A,a02,15969.88
A,a02,18826.82
A,a02,14378.52
A,a02,20957.51
A,a02,15581.79
A,a02,18719.82
A,a02,14833.05
A,a02,17087.37
A,a02,18933.8
A,a02,16430.4
A,a02,15817.28
A,a02,17303.01
A,a02,14871.19
A,a02,18456.45
A,a02,18201.31
A,a02,16891.03
A,a02,22574.39
A,a02,16761.13
A,a02,15974.19
A,a02,18002.77
A,a02,17629.45
A,a02,14241.41
A,a02,19679.65
A,a02,15023.55
A,a02,17260.58
A,a02,16026.44
A,a02,18903.77
A,a02,19318.24
A,a02,18983.03
A,a02,15734.26
A,a02,14114.0
A,a02,17202.24
A,a02,19245.8
A,a02,18761.85
A,a02,15118.73
A,a02,15281.48
A,a02,17553.49
A,a02,14320.12
A,a02,13035.61
A,a02,14287.23
A,a02,12876.24
A,a02,16462.3
A,a02,17204.91
A,a02,16812.85
A,a02,16264.36
A,a02,12925.22
A,a02,20700.84
A,a02,20534.18
A,a02,16631.88
A,a02,12745.71
A,a02,17074.59
A,a02,17687.7
A,a02,19220.48
A,a02,18471.82
A,a02,17274.57
A,a02,23100.67
A,a02,15748.45
A,a02,21404.72
A,a02,14709.15
A,a02,19604.06
A,a02,17419.5
A,a02,19172.04
A,a02,16289.98
A,a02,13367.44
A,a02,11758.68
A,a02,16655.74
A,a02,17613.33
A,a02,17129.66
A,a02,16253.57
A,a02,18493.72
A,a02,19430.09
A,a02,12460.99
A,a02,17089.79
A,a02,13749.65
A,a02,22144.22
A,a02,19034.31
A,a02,17964.08
A,a02,15256.64
A,a02,16680.44
A,a03,9830.59
A,a03,7709.85
A,a03,3963.32
A,a03,9126.53
A,a03,10101.85
A,a03,5671.57
A,a03,5132.2
A,a03,7824.92
A,a03,7378.72
A,a03,5692.91
A,a03,7413.89
A,a03,5163.82
A,a03,9676.87
A,a03,10557.57
A,a03,9130.04
A,a03,7833.56
A,a03,5473.66
A,a03,5776.59
A,a03,12772.26
A,a03,6895.45
A,a03,5734.38
A,a03,9837.2
